city_name,country
Granville,France
Kingston Upon Hull,United Kingdom
New Waterford,Canada
Kingstown,Saint Vincent and the Grenadines
Nanakuli,United States
Lavagna,Italy
Ladispoli,Italy
Dong Hoi,Vietnam
Nettuno,Italy
Puebloviejo,Cuba
Fiumicino,Italy
Nishinomiya,Japan
Carteret,United States
Ercolano,Italy
Bolama,Guinea-Bissau
Bairiki,Kiribati
Broome,Australia
Cananeia,Brazil
Cavite,Philippines
Prince Rupert,Canada
Roseau,Dominica
Ardrossan,United Kingdom
Stockholm,Sweden
Tacloban,Philippines
Tadotsu,Japan
Ternate,Indonesia
Torre Del Greco,Italy
Broadstairs,United Kingdom
Ermoupolis,Greece
Parainen,Finland
Piombino,Italy
Pomorie,Bulgaria
Port Dickson,Malaysia
Puerto Real,Spain
Rottingdean,United Kingdom
Sakaiminato,Japan
San Jose,Costa Rica
Savona,Italy
Sines,Portugal
Oarai,Japan
Keansburg,United States
Juneau,United States
Santa Pola,Spain
Sawtell,Australia
Sinop,Turkey
Kalianget,Indonesia
Futtsu,Japan
Gingoog,Philippines
Caibarien,Cuba
Caminawit,Philippines
Balikpapan,Indonesia
Golcuk,Turkey
Gold Coast,Australia
Hambantota,Sri Lanka
Isla Mujeres,Mexico
Santa Flavia,Italy
Crotone,Italy
Vieste,Italy
Moche,Peru
Namerikawa,Japan
Menton,France
Zanzibar,Tanzania
Domoni,Comoros
West Bay,Cayman Islands
Wakkanai,Japan
San Benedetto Del Tronto,Italy
Sao Francisco Do Sul,Brazil
Anacortes,United States
Banjul,The Gambia
New York,United States
Akcakoca,Turkey
Alcudia,Spain
Titusville,United States
Togitsu,Japan
Velsen,Netherlands
Dinard,France
Split,Croatia
Port De Bouc,France
Pulupandan,Philippines
Pambujan,Philippines
Papara,French Polynesia
Maxixe,Mozambique
Mazatlan,Mexico
Monster,Netherlands
Mergui,Myanmar
Kuala Kedah,Malaysia
Runcorn,United Kingdom
Sao Francisco Do Conde,Brazil
Bissau,Guinea-Bissau
Sitrah,Bahrain
Kochi,India
Frederikshavn,Denmark
Miami Beach,United States
Newport News,United States
Martaban,Myanmar
Mont Dore,New Caledonia
Nanao,Japan
Bata,Equatorial Guinea
Benidorm,Spain
Ancona,Italy
Termini Imerese,Italy
Fort Myers,United States
Anzio,Italy
Brigantine,United States
Kalamaria,Greece
Iloilo,Philippines
Maceio,Brazil
Marathon,Greece
Sao Lourenco Do Sul,Brazil
Martigues,France
Carrickfergus,United Kingdom
Campbellton,Canada
Almada,Portugal
Antibes,France
Antonina,Brazil
Si Racha,Thailand
Preveza,Greece
Saint Simons,United States
Sestri Levante,Italy
North Myrtle Beach,United States
Meulaboh,Indonesia
Kaizuka,Japan
Kamal,Egypt
Ponnani,India
Pontian Kecil,Malaysia
Barreiro,Portugal
Kavieng,Papua New Guinea
Landskrona,Sweden
Gushikawa,Japan
Hull,United Kingdom
Danao,Philippines
Dharmadam,India
Hakodate,Japan
Pionerskiy,Russia
Jensen Beach,United States
Ortona,Italy
Goudomp,Senegal
Daru,Papua New Guinea
Macae,Brazil
Kawanoe,Indonesia
Wallasey,United Kingdom
Tekirdag,Turkey
Veraval,India
Tarut,Saudi Arabia
Putatan,Philippines
Bontang,Indonesia
Winneba,Ghana
Bansud,Philippines
Arenzano,Italy
Nagua,Dominican Republic
Vico Equense,Italy
Tanjong Tokong,Malaysia
Ilfracombe,United Kingdom
Bunbury,Australia
Wexford,Ireland
Lapu Lapu,Philippines
Mangaratiba,Brazil
Marblehead,United States
Ventimiglia,Italy
Torrevieja,Spain
Trogir,Croatia
Taltal,Chile
Lidingo,Sweden
Arukutti,Sri Lanka
Itamaraca,Brazil
Jablah,Syria
Huangpu,China
Ierapetra,Greece
Great Yarmouth,United Kingdom
Itaparica,Brazil
Eureka,United States
Mesolongion,Greece
Korsor,Denmark
Lagos,Portugal
Procida,Italy
Pattaya,Thailand
Mandurah,Australia
Cabedelo,Brazil
Almeirim,Portugal
Biloxi,United States
Punta Umbria,Spain
Roseto Degli Abruzzi,Italy
Dzaoudzi,Mayotte
Mawlamyine,Myanmar
Mtwara,Tanzania
Luganville,Vanuatu
La Porte,United States
Kijang,Indonesia
Puerto Vallarta,Mexico
Port Hedland,Australia
Sanary Sur Mer,France
Dana Point,United States
Don Sak,Thailand
Tsukumi,Japan
Hamina,Finland
Puerto Plata,Dominican Republic
Ramsgate,United Kingdom
Rianxo,Spain
Kanda,Japan
Makung,Taiwan
Urk,Netherlands
Colwyn Bay,United Kingdom
Winthrop,United States
Alvarado,Mexico
Martinsicuro,Italy
Gallipoli,Italy
Girne,Northern Cyprus
Seal Beach,United States
Sept Iles,Canada
Clacton On Sea,United Kingdom
Monte Di Procida,Italy
Naantali,Finland
Benaulim,India
Camara De Lobos,Portugal
Da Nang,Vietnam
Cumana,Venezuela
Vila Velha,Brazil
Ilhabela,Brazil
Albenga,Italy
Goderich,Canada
Funchal,Portugal
Kannangad,India
Durban,South Africa
Praia Grande,Brazil
Os,Norway
Paciran,Indonesia
Llanelli,United Kingdom
Long Beach,United States
Kismayo,Somalia
Tigzirt,Algeria
