,country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
12,India,Radaur,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy
13,Pakistan,Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy
16,India,Rajgir,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy
19,India,Phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy
24,Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
43,India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy
51,Pakistan,Dhadar,157,Unhealthy,1,Good,89,Moderate,0,Good,157,Unhealthy
53,Pakistan,Digri,153,Unhealthy,1,Good,40,Good,0,Good,153,Unhealthy
75,India,Gyanpur,189,Unhealthy,2,Good,99,Moderate,1,Good,189,Unhealthy
77,China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy
87,Iran (Islamic Republic of),Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,Unhealthy
89,India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy
91,Mexico,Tepeaca,172,Unhealthy,5,Good,2,Good,11,Good,172,Unhealthy
101,Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy
109,India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy
111,India,Jahanabad,168,Unhealthy,4,Good,168,Unhealthy,1,Good,156,Unhealthy
131,Viet Nam,Tuyen Quang,167,Unhealthy,4,Good,167,Unhealthy,1,Good,107,Unhealthy for Sensitive Groups
136,India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy
146,China,Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy
148,China,Yanggu,160,Unhealthy,3,Good,138,Unhealthy for Sensitive Groups,5,Good,160,Unhealthy
166,China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate
180,India,Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous
206,India,Tal,155,Unhealthy,1,Good,39,Good,0,Good,155,Unhealthy
220,China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy
226,China,Zhicheng,160,Unhealthy,4,Good,36,Good,13,Good,160,Unhealthy
228,China,Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy
230,Mexico,Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy
236,Mexico,Acuautla,189,Unhealthy,2,Good,9,Good,15,Good,189,Unhealthy
239,India,Afzalgarh,198,Unhealthy,4,Good,198,Unhealthy,3,Good,188,Unhealthy
266,India,Atarra,194,Unhealthy,1,Good,44,Good,0,Good,194,Unhealthy
276,Pakistan,Bahawalnagar,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous
277,South Africa,Balfour,380,Hazardous,31,Good,1,Good,26,Good,380,Hazardous
278,South Africa,Ballitoville,222,Very Unhealthy,12,Good,5,Good,14,Good,222,Very Unhealthy
288,India,Bazpur,182,Unhealthy,5,Good,170,Unhealthy,5,Good,182,Unhealthy
304,India,Chhabra,171,Unhealthy,1,Good,42,Good,0,Good,171,Unhealthy
307,India,Chipurupalle,153,Unhealthy,2,Good,22,Good,6,Good,153,Unhealthy
309,India,Chotila,157,Unhealthy,0,Good,31,Good,1,Good,157,Unhealthy
322,United States of America,Cooper City,152,Unhealthy,4,Good,4,Good,19,Good,152,Unhealthy
336,Pakistan,Dalbandin,160,Unhealthy,0,Good,39,Good,0,Good,160,Unhealthy
345,India,Betma,153,Unhealthy,1,Good,34,Good,0,Good,153,Unhealthy
349,Pakistan,Bhalwal,179,Unhealthy,3,Good,179,Unhealthy,2,Good,166,Unhealthy
351,India,Bhinmal,202,Very Unhealthy,0,Good,34,Good,0,Good,202,Very Unhealthy
360,India,Bari Sadri,167,Unhealthy,1,Good,32,Good,0,Good,167,Unhealthy
393,India,Padra,156,Unhealthy,1,Good,33,Good,0,Good,156,Unhealthy
417,India,Phillaur,444,Hazardous,2,Good,111,Unhealthy for Sensitive Groups,1,Good,391,Hazardous
429,India,Sahibganj,208,Very Unhealthy,3,Good,152,Unhealthy,1,Good,208,Very Unhealthy
439,India,Salon,303,Hazardous,1,Good,48,Good,0,Good,260,Very Unhealthy
441,India,Sambhar,193,Unhealthy,0,Good,38,Good,0,Good,193,Unhealthy
452,Chile,Quillota,182,Unhealthy,14,Good,1,Good,23,Good,182,Unhealthy
453,India,Rafiganj,356,Hazardous,1,Good,60,Moderate,0,Good,284,Very Unhealthy
455,Bangladesh,Rajshahi,191,Unhealthy,2,Good,133,Unhealthy for Sensitive Groups,2,Good,191,Unhealthy
458,India,Phulpur,226,Very Unhealthy,1,Good,48,Good,1,Good,226,Very Unhealthy
470,India,Rania,500,Hazardous,1,Good,40,Good,0,Good,464,Hazardous
487,India,Dalmau,190,Unhealthy,2,Good,98,Moderate,1,Good,190,Unhealthy
489,India,Damnagar,152,Unhealthy,0,Good,29,Good,0,Good,152,Unhealthy
492,India,Dankaur,292,Very Unhealthy,3,Good,136,Unhealthy for Sensitive Groups,3,Good,292,Very Unhealthy
494,India,Dattapur,153,Unhealthy,0,Good,29,Good,0,Good,153,Unhealthy
497,India,Delvada,158,Unhealthy,0,Good,25,Good,0,Good,158,Unhealthy
500,India,Dewa,173,Unhealthy,3,Good,159,Unhealthy,1,Good,173,Unhealthy
514,Pakistan,Eminabad,153,Unhealthy,3,Good,153,Unhealthy,1,Good,152,Unhealthy
520,India,Gobindapur,198,Unhealthy,3,Good,91,Moderate,3,Good,198,Unhealthy
521,India,Gobindpur,175,Unhealthy,1,Good,51,Moderate,1,Good,175,Unhealthy
523,India,Gohad,194,Unhealthy,1,Good,46,Good,0,Good,194,Unhealthy
524,India,Gohana,500,Hazardous,1,Good,47,Good,1,Good,500,Hazardous
545,Brazil,Francisco Morato,169,Unhealthy,7,Good,0,Good,21,Good,169,Unhealthy
577,China,Lishan,192,Unhealthy,4,Good,192,Unhealthy,6,Good,124,Unhealthy for Sensitive Groups
583,Senegal,Louga,176,Unhealthy,2,Good,21,Good,3,Good,176,Unhealthy
588,India,Lunavada,164,Unhealthy,1,Good,35,Good,0,Good,164,Unhealthy
591,Pakistan,Madeji,167,Unhealthy,1,Good,49,Good,1,Good,167,Unhealthy
596,India,Mahoba,180,Unhealthy,1,Good,45,Good,0,Good,180,Unhealthy
597,India,Maihar,171,Unhealthy,1,Good,36,Good,0,Good,171,Unhealthy
598,India,Mainpuri,434,Hazardous,1,Good,53,Moderate,1,Good,362,Hazardous
604,Iran (Islamic Republic of),Malard,172,Unhealthy,3,Good,172,Unhealthy,5,Good,145,Unhealthy for Sensitive Groups
607,India,Mangawan,184,Unhealthy,1,Good,39,Good,1,Good,184,Unhealthy
611,India,Gunnaur,500,Hazardous,1,Good,73,Moderate,1,Good,500,Hazardous
613,China,Haian,207,Very Unhealthy,4,Good,207,Very Unhealthy,3,Good,150,Unhealthy
620,Pakistan,Harunabad,500,Hazardous,1,Good,43,Good,0,Good,443,Hazardous
627,China,Hengyang,169,Unhealthy,4,Good,169,Unhealthy,3,Good,150,Unhealthy
644,India,Khetri,500,Hazardous,1,Good,40,Good,0,Good,376,Hazardous
663,Pakistan,Kot Radha Kishan,230,Very Unhealthy,5,Good,130,Unhealthy for Sensitive Groups,9,Good,230,Very Unhealthy
690,India,Indergarh,390,Hazardous,1,Good,54,Moderate,1,Good,335,Hazardous
692,Nigeria,Inisa,159,Unhealthy,6,Good,16,Good,5,Good,159,Unhealthy
702,India,Jahangirpur,500,Hazardous,1,Good,49,Good,1,Good,493,Hazardous
703,India,Jamadoba,174,Unhealthy,1,Good,59,Moderate,1,Good,174,Unhealthy
704,India,Jandiala,156,Unhealthy,5,Good,124,Unhealthy for Sensitive Groups,10,Good,156,Unhealthy
705,China,Jijiang,162,Unhealthy,10,Good,79,Moderate,25,Good,162,Unhealthy
711,United Republic of Tanzania,Kabanga,171,Unhealthy,6,Good,10,Good,3,Good,171,Unhealthy
714,India,Kakrala,500,Hazardous,2,Good,95,Moderate,2,Good,478,Hazardous
720,India,Kandhla,500,Hazardous,3,Good,53,Moderate,8,Good,500,Hazardous
722,China,Kangshan,201,Very Unhealthy,3,Good,201,Very Unhealthy,4,Good,142,Unhealthy for Sensitive Groups
725,India,Kartarpur,168,Unhealthy,3,Good,168,Unhealthy,2,Good,146,Unhealthy for Sensitive Groups
748,Senegal,Mekhe,171,Unhealthy,2,Good,20,Good,3,Good,171,Unhealthy
759,India,Misrikh,178,Unhealthy,4,Good,178,Unhealthy,2,Good,170,Unhealthy
760,India,Moga,159,Unhealthy,2,Good,134,Unhealthy for Sensitive Groups,1,Good,159,Unhealthy
762,Indonesia,Mojoagung,155,Unhealthy,3,Good,91,Moderate,2,Good,155,Unhealthy
777,India,Nangloi Jat,334,Hazardous,3,Good,113,Unhealthy for Sensitive Groups,3,Good,326,Hazardous
781,Pakistan,Narowal,164,Unhealthy,3,Good,164,Unhealthy,1,Good,138,Unhealthy for Sensitive Groups
782,India,Nawa,195,Unhealthy,1,Good,36,Good,0,Good,195,Unhealthy
794,India,Khargapur,197,Unhealthy,1,Good,42,Good,0,Good,197,Unhealthy
795,India,Kharhial,161,Unhealthy,1,Good,32,Good,1,Good,161,Unhealthy
796,India,Khategaon,157,Unhealthy,1,Good,36,Good,0,Good,157,Unhealthy
797,India,Kheda,158,Unhealthy,1,Good,38,Good,0,Good,158,Unhealthy
803,India,Kishangarh,409,Hazardous,1,Good,44,Good,0,Good,356,Hazardous
806,India,Kodarma,186,Unhealthy,2,Good,108,Unhealthy for Sensitive Groups,1,Good,186,Unhealthy
808,South Africa,Koppies,191,Unhealthy,7,Good,9,Good,18,Good,191,Unhealthy
809,China,Korla,160,Unhealthy,1,Good,45,Good,0,Good,160,Unhealthy
818,India,Lohardaga,185,Unhealthy,1,Good,55,Moderate,0,Good,185,Unhealthy
830,India,Mahendragarh,500,Hazardous,1,Good,42,Good,0,Good,435,Hazardous
831,India,Mahesana,170,Unhealthy,0,Good,33,Good,0,Good,170,Unhealthy
837,India,Manohar Thana,168,Unhealthy,1,Good,42,Good,0,Good,168,Unhealthy
850,India,Lakhimpur,190,Unhealthy,4,Good,190,Unhealthy,1,Good,164,Unhealthy
852,Indonesia,Lamongan,167,Unhealthy,3,Good,123,Unhealthy for Sensitive Groups,1,Good,167,Unhealthy
869,Pakistan,Kanganpur,175,Unhealthy,2,Good,145,Unhealthy for Sensitive Groups,1,Good,175,Unhealthy
871,India,Kapasan,162,Unhealthy,1,Good,38,Good,0,Good,162,Unhealthy
875,India,Karauli,213,Very Unhealthy,1,Good,43,Good,0,Good,213,Very Unhealthy
876,India,Kareli,169,Unhealthy,1,Good,36,Good,0,Good,169,Unhealthy
877,India,Karhal,265,Very Unhealthy,2,Good,91,Moderate,1,Good,265,Very Unhealthy
890,China,Juye,176,Unhealthy,4,Good,176,Unhealthy,5,Good,129,Unhealthy for Sensitive Groups
894,India,Muktsar,180,Unhealthy,2,Good,151,Unhealthy,1,Good,180,Unhealthy
896,Pakistan,Multan,194,Unhealthy,3,Good,176,Unhealthy,2,Good,194,Unhealthy
907,China,Nantong,206,Very Unhealthy,7,Good,206,Very Unhealthy,9,Good,167,Unhealthy
910,Pakistan,Johi,162,Unhealthy,1,Good,37,Good,0,Good,162,Unhealthy
911,India,Kachhwa,187,Unhealthy,2,Good,106,Unhealthy for Sensitive Groups,1,Good,187,Unhealthy
912,India,Kalanaur,157,Unhealthy,3,Good,157,Unhealthy,1,Good,126,Unhealthy for Sensitive Groups
913,Pakistan,Lakhi,163,Unhealthy,1,Good,71,Moderate,1,Good,163,Unhealthy
928,Pakistan,Lodhran,500,Hazardous,1,Good,45,Good,0,Good,364,Hazardous
931,Mexico,Los Reyes Acozac,195,Unhealthy,3,Good,5,Good,15,Good,195,Unhealthy
933,China,Luan,183,Unhealthy,4,Good,183,Unhealthy,2,Good,115,Unhealthy for Sensitive Groups
941,Pakistan,Mailsi,500,Hazardous,1,Good,45,Good,0,Good,386,Hazardous
959,Pakistan,Kunjah,191,Unhealthy,2,Good,163,Unhealthy,1,Good,191,Unhealthy
987,India,Doraha,467,Hazardous,1,Good,102,Unhealthy for Sensitive Groups,1,Good,400,Hazardous
989,Indonesia,Driyorejo,157,Unhealthy,2,Good,84,Moderate,2,Good,157,Unhealthy
991,India,Dumjor,179,Unhealthy,3,Good,102,Unhealthy for Sensitive Groups,4,Good,179,Unhealthy
1007,Iran (Islamic Republic of),Eqbaliyeh,172,Unhealthy,2,Good,172,Unhealthy,4,Good,150,Unhealthy
1018,Pakistan,Faisalabad,301,Hazardous,1,Good,82,Moderate,1,Good,301,Hazardous
1028,India,Forbesganj,217,Very Unhealthy,3,Good,103,Unhealthy for Sensitive Groups,1,Good,217,Very Unhealthy
1033,Rwanda,Gisenyi,157,Unhealthy,4,Good,17,Good,2,Good,157,Unhealthy
1063,China,Huangchuan,159,Unhealthy,3,Good,159,Unhealthy,2,Good,94,Moderate
1075,India,Gwalior,174,Unhealthy,1,Good,46,Good,0,Good,174,Unhealthy
1082,India,Hardoi,417,Hazardous,1,Good,49,Good,1,Good,323,Hazardous
1089,China,Heyang,174,Unhealthy,9,Good,38,Good,23,Good,174,Unhealthy
1097,India,Gajraula,500,Hazardous,1,Good,55,Moderate,1,Good,500,Hazardous
1118,India,Mubarakpur,452,Hazardous,1,Good,72,Moderate,1,Good,333,Hazardous
1126,India,Nadbai,209,Very Unhealthy,1,Good,44,Good,0,Good,209,Very Unhealthy
1127,India,Nagaur,500,Hazardous,0,Good,35,Good,0,Good,426,Hazardous
1128,India,Nagpur,152,Unhealthy,1,Good,41,Good,0,Good,152,Unhealthy
1129,India,Nainpur,153,Unhealthy,0,Good,38,Good,0,Good,153,Unhealthy
1134,Pakistan,Nankana Sahib,356,Hazardous,2,Good,100,Unhealthy for Sensitive Groups,1,Good,354,Hazardous
1155,India,Phulera,291,Very Unhealthy,1,Good,41,Good,0,Good,291,Very Unhealthy
1158,India,Pindwara,192,Unhealthy,1,Good,33,Good,0,Good,192,Unhealthy
1197,India,Panagar,171,Unhealthy,1,Good,44,Good,0,Good,171,Unhealthy
1210,China,Pengcheng,200,Unhealthy,5,Good,200,Unhealthy,7,Good,163,Unhealthy
1214,Brazil,Peruibe,156,Unhealthy,8,Good,2,Good,21,Good,156,Unhealthy
1219,China,Donghai,159,Unhealthy,3,Good,159,Unhealthy,1,Good,79,Moderate
1259,India,Ghatal,154,Unhealthy,3,Good,107,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy
1267,Brazil,Poa,176,Unhealthy,8,Good,0,Good,23,Good,176,Unhealthy
1269,India,Kharsia,160,Unhealthy,2,Good,46,Good,4,Good,160,Unhealthy
1270,Pakistan,Khushab,165,Unhealthy,4,Good,78,Moderate,6,Good,165,Unhealthy
1271,India,Khutar,154,Unhealthy,4,Good,14,Good,12,Good,154,Unhealthy
1285,India,Koratla,174,Unhealthy,2,Good,44,Good,4,Good,174,Unhealthy
1293,India,Kulpahar,168,Unhealthy,3,Good,125,Unhealthy for Sensitive Groups,2,Good,168,Unhealthy
1311,Indonesia,Leuwiliang,264,Very Unhealthy,15,Good,8,Good,52,Moderate,264,Very Unhealthy
1314,Pakistan,Liliani,169,Unhealthy,5,Good,69,Moderate,8,Good,169,Unhealthy
1328,China,Shenzhen,154,Unhealthy,3,Good,2,Good,28,Good,154,Unhealthy
1330,China,Shitanjing,218,Very Unhealthy,1,Good,38,Good,5,Good,218,Very Unhealthy
1333,Indonesia,Sidareja,189,Unhealthy,10,Good,7,Good,25,Good,189,Unhealthy
1343,India,Sahaswan,178,Unhealthy,3,Good,169,Unhealthy,3,Good,178,Unhealthy
1380,India,Datia,226,Very Unhealthy,1,Good,48,Good,0,Good,226,Very Unhealthy
1384,Pakistan,Dera Ismail Khan,180,Unhealthy,2,Good,107,Unhealthy for Sensitive Groups,0,Good,180,Unhealthy
1387,Senegal,Diourbel,154,Unhealthy,2,Good,13,Good,4,Good,154,Unhealthy
1390,India,Sasaram,171,Unhealthy,3,Good,110,Unhealthy for Sensitive Groups,2,Good,171,Unhealthy
1398,South Africa,Secunda,154,Unhealthy,2,Good,0,Good,23,Good,154,Unhealthy
1402,Republic of Korea,Seoul,421,Hazardous,27,Good,0,Good,91,Moderate,415,Hazardous
1410,Mexico,Xalpa,180,Unhealthy,1,Good,35,Good,4,Good,180,Unhealthy
1424,Indonesia,Wlingi,176,Unhealthy,8,Good,10,Good,17,Good,176,Unhealthy
1433,India,Mirganj,168,Unhealthy,4,Good,168,Unhealthy,1,Good,165,Unhealthy
1461,India,Nasriganj,154,Unhealthy,4,Good,142,Unhealthy for Sensitive Groups,1,Good,154,Unhealthy
1463,India,Nawabganj,162,Unhealthy,3,Good,151,Unhealthy,1,Good,162,Unhealthy
1475,Nigeria,Nkpor,166,Unhealthy,11,Good,18,Good,8,Good,166,Unhealthy
1482,Mauritania,Nouadhibou,157,Unhealthy,0,Good,36,Good,0,Good,157,Unhealthy
1490,Nigeria,Ohafia,161,Unhealthy,7,Good,34,Good,4,Good,161,Unhealthy
1493,Nigeria,Okrika,165,Unhealthy,6,Good,38,Good,4,Good,165,Unhealthy
1500,India,Colonelganj,235,Very Unhealthy,4,Good,111,Unhealthy for Sensitive Groups,5,Good,235,Very Unhealthy
1502,Brazil,Contagem,156,Unhealthy,6,Good,0,Good,9,Good,156,Unhealthy
1517,India,Dahod,160,Unhealthy,1,Good,33,Good,0,Good,160,Unhealthy
1524,India,Bolpur,201,Very Unhealthy,2,Good,95,Moderate,2,Good,201,Very Unhealthy
1535,Brazil,Cabreuva,164,Unhealthy,6,Good,0,Good,15,Good,164,Unhealthy
1558,India,Dalkola,154,Unhealthy,3,Good,88,Moderate,1,Good,154,Unhealthy
1561,India,Dataganj,500,Hazardous,3,Good,61,Moderate,9,Good,437,Hazardous
1583,Mexico,Chicoloapan,204,Very Unhealthy,3,Good,10,Good,15,Good,204,Very Unhealthy
1586,Indonesia,Ciampea,154,Unhealthy,4,Good,154,Unhealthy,2,Good,126,Unhealthy for Sensitive Groups
1595,United Arab Emirates,Dubai,152,Unhealthy,1,Good,140,Unhealthy for Sensitive Groups,3,Good,152,Unhealthy
1606,Nigeria,Enugu,170,Unhealthy,8,Good,15,Good,6,Good,170,Unhealthy
1616,Bangladesh,Feni,157,Unhealthy,2,Good,36,Good,2,Good,157,Unhealthy
1629,Somalia,Bosaso,160,Unhealthy,0,Good,19,Good,0,Good,160,Unhealthy
1630,India,Bahadurgarh,190,Unhealthy,7,Good,70,Moderate,18,Good,190,Unhealthy
1632,India,Baj Baj,186,Unhealthy,9,Good,6,Good,21,Good,186,Unhealthy
1638,Iran (Islamic Republic of),Bandar E Torkaman,153,Unhealthy,2,Good,40,Good,2,Good,153,Unhealthy
1640,Indonesia,Bandung,198,Unhealthy,11,Good,6,Good,30,Good,198,Unhealthy
1641,India,Bansbaria,210,Very Unhealthy,11,Good,3,Good,27,Good,210,Very Unhealthy
1659,Pakistan,Bhit Shah,157,Unhealthy,1,Good,24,Good,2,Good,157,Unhealthy
1679,Indonesia,Boyolali,201,Very Unhealthy,12,Good,2,Good,28,Good,201,Very Unhealthy
1680,China,Bozhou,162,Unhealthy,8,Good,44,Good,24,Good,162,Unhealthy
1696,India,Bulandshahr,170,Unhealthy,5,Good,48,Good,12,Good,170,Unhealthy
1707,Mexico,Calpulalpan,279,Very Unhealthy,2,Good,38,Good,3,Good,279,Very Unhealthy
1725,India,Chaklasi,159,Unhealthy,3,Good,19,Good,10,Good,159,Unhealthy
1733,India,Chit Baragaon,170,Unhealthy,4,Good,78,Moderate,5,Good,170,Unhealthy
1736,China,Chungho,167,Unhealthy,5,Good,22,Good,34,Good,167,Unhealthy
1742,Iran (Islamic Republic of),Abadan,164,Unhealthy,1,Good,134,Unhealthy for Sensitive Groups,1,Good,164,Unhealthy
1748,India,Adalaj,162,Unhealthy,3,Good,22,Good,11,Good,162,Unhealthy
1758,Pakistan,Akora,182,Unhealthy,5,Good,51,Moderate,8,Good,182,Unhealthy
1785,Viet Nam,Bac Giang,179,Unhealthy,10,Good,8,Good,22,Good,179,Unhealthy
1805,India,Raghogarh,156,Unhealthy,1,Good,41,Good,0,Good,156,Unhealthy
1819,Saudi Arabia,Riyadh,196,Unhealthy,1,Good,44,Good,1,Good,196,Unhealthy
1828,United States of America,Royal Oak,157,Unhealthy,5,Good,4,Good,29,Good,157,Unhealthy
1844,India,Sanaur,180,Unhealthy,3,Good,180,Unhealthy,2,Good,167,Unhealthy
1851,India,Saraikela,171,Unhealthy,1,Good,67,Moderate,0,Good,171,Unhealthy
1855,Bangladesh,Patiya,152,Unhealthy,2,Good,41,Good,1,Good,152,Unhealthy
1865,India,Pilkhuwa,500,Hazardous,2,Good,61,Moderate,2,Good,500,Hazardous
1869,India,Pipri,199,Unhealthy,1,Good,48,Good,0,Good,199,Unhealthy
1870,India,Piro,185,Unhealthy,1,Good,83,Moderate,1,Good,185,Unhealthy
1905,India,Amarpur,181,Unhealthy,2,Good,124,Unhealthy for Sensitive Groups,1,Good,181,Unhealthy
1906,India,Anandnagar,279,Very Unhealthy,3,Good,166,Unhealthy,1,Good,279,Very Unhealthy
1943,India,Siwani,500,Hazardous,1,Good,38,Good,0,Good,500,Hazardous
1968,India,Shamsabad,500,Hazardous,1,Good,75,Moderate,2,Good,433,Hazardous
1969,China,Shancheng,159,Unhealthy,2,Good,159,Unhealthy,2,Good,78,Moderate
1995,India,Akaltara,181,Unhealthy,1,Good,74,Moderate,1,Good,181,Unhealthy
2022,India,Atraulia,188,Unhealthy,4,Good,188,Unhealthy,1,Good,182,Unhealthy
2030,India,Balrampur,168,Unhealthy,4,Good,167,Unhealthy,1,Good,168,Unhealthy
2033,India,Banat,156,Unhealthy,3,Good,156,Unhealthy,2,Good,154,Unhealthy
2036,India,Bankra,178,Unhealthy,5,Good,107,Unhealthy for Sensitive Groups,6,Good,178,Unhealthy
2037,India,Bansgaon,179,Unhealthy,5,Good,177,Unhealthy,1,Good,179,Unhealthy
2038,India,Baran,173,Unhealthy,1,Good,42,Good,0,Good,173,Unhealthy
2040,India,Barddhaman,160,Unhealthy,4,Good,130,Unhealthy for Sensitive Groups,3,Good,160,Unhealthy
2041,India,Barh,167,Unhealthy,4,Good,139,Unhealthy for Sensitive Groups,1,Good,167,Unhealthy
2045,India,Basirhat,176,Unhealthy,6,Good,89,Moderate,6,Good,176,Unhealthy
2056,South Africa,Brakpan,236,Very Unhealthy,16,Good,10,Good,16,Good,236,Very Unhealthy
2067,Saudi Arabia,Buqayq,183,Unhealthy,1,Good,54,Moderate,0,Good,183,Unhealthy
2090,China,Tachi,170,Unhealthy,3,Good,170,Unhealthy,1,Good,120,Unhealthy for Sensitive Groups
2102,Sudan,Tawkar,152,Unhealthy,1,Good,27,Good,0,Good,152,Unhealthy
2109,Mexico,Tenancingo,224,Very Unhealthy,4,Good,0,Good,15,Good,224,Very Unhealthy
2149,South Africa,Verwoerdburg,201,Very Unhealthy,21,Good,12,Good,16,Good,201,Very Unhealthy
2191,China,Yudong,171,Unhealthy,9,Good,24,Good,24,Good,171,Unhealthy
2225,India,Sri Madhopur,283,Very Unhealthy,1,Good,43,Good,0,Good,283,Very Unhealthy
2280,India,Pandaria,186,Unhealthy,1,Good,42,Good,0,Good,186,Unhealthy
2281,India,Pandhana,153,Unhealthy,0,Good,35,Good,0,Good,153,Unhealthy
2285,India,Parichhatgarh,173,Unhealthy,4,Good,173,Unhealthy,3,Good,159,Unhealthy
2288,India,Pawai,196,Unhealthy,1,Good,42,Good,0,Good,196,Unhealthy
2297,India,Phalodi,500,Hazardous,0,Good,34,Good,0,Good,467,Hazardous
2300,India,Pinahat,297,Very Unhealthy,1,Good,54,Moderate,1,Good,297,Very Unhealthy
2312,India,Porbandar,167,Unhealthy,0,Good,23,Good,0,Good,167,Unhealthy
2316,South Africa,Potchefstroom,188,Unhealthy,11,Good,15,Good,15,Good,188,Unhealthy
2321,Indonesia,Prigen,153,Unhealthy,3,Good,84,Moderate,2,Good,153,Unhealthy
2326,China,Qingquan,178,Unhealthy,4,Good,178,Unhealthy,3,Good,132,Unhealthy for Sensitive Groups
2329,Pakistan,Rabwah,163,Unhealthy,2,Good,148,Unhealthy for Sensitive Groups,1,Good,163,Unhealthy
2345,India,Sahaspur,182,Unhealthy,3,Good,182,Unhealthy,1,Good,151,Unhealthy
2357,Chile,San Bernardo,240,Very Unhealthy,15,Good,0,Good,24,Good,240,Very Unhealthy
2379,Yemen,Sayyan,179,Unhealthy,1,Good,44,Good,0,Good,179,Unhealthy
2390,Gambia,Serekunda,158,Unhealthy,1,Good,30,Good,1,Good,158,Unhealthy
2407,Pakistan,Rasulnagar,155,Unhealthy,2,Good,155,Unhealthy,1,Good,124,Unhealthy for Sensitive Groups
2409,India,Richha,177,Unhealthy,4,Good,177,Unhealthy,1,Good,156,Unhealthy
2444,South Africa,Stanger,165,Unhealthy,6,Good,15,Good,6,Good,165,Unhealthy
2452,India,Kheralu,162,Unhealthy,1,Good,35,Good,0,Good,162,Unhealthy
2469,Pakistan,Kot Addu,202,Very Unhealthy,1,Good,88,Moderate,1,Good,202,Very Unhealthy
2470,India,Kota,160,Unhealthy,1,Good,42,Good,1,Good,160,Unhealthy
2473,India,Kanina,500,Hazardous,1,Good,41,Good,0,Good,372,Hazardous
